"Analysis","mean_PR","mean_M","mean_A","mean_phi_deg","BWgrp"
"PMC_24h",28.4898278136147,136.204570298532,0.645422307074094,62.3948897836318,"3H"
"PMC_12h",10.8235294117647,136.204570298532,0.607612194435979,-7.09311846682901,"3H"
"PMC_ortho",28.4898278136147,136.204570298532,0.676480058710977,-43.8240894000576,"3H"
"PMC_bathy",28.4898278136147,136.204570298532,2.21144121163656,-108.30126434135,"3H"
"PMC_24h",23.6069950648559,134.190631481585,0.422032461515432,-53.2522467678305,"2M"
"PMC_12h",8.47222222222222,134.190631481585,1.11603748776187,85.2839256129634,"2M"
"PMC_ortho",23.6069950648559,134.190631481585,0.567205811005906,-107.208460138074,"2M"
"PMC_bathy",23.6069950648559,134.190631481585,1.21244502509273,105.554705644225,"2M"
"PMC_24h",25.0321501055148,141.62768836192,1.9231763297065,-42.8714465648302,"1L"
"PMC_12h",9.94444444444444,141.62768836192,2.12938045499427,-44.4566454173128,"1L"
"PMC_ortho",25.0321501055148,141.62768836192,3.10236245346601,-27.7781473698098,"1L"
"PMC_bathy",25.0321501055148,141.62768836192,2.21475625112756,104.834620930103,"1L"
