"BW_group","analysis","n","mean_PR","mean_M","mean_A","mean_phi_deg","pval","A_CI_lower","A_CI_upper","SE_phi_deg","phi_CI_lower","phi_CI_upper","SS_beta","SS_beta_gamma","SS_gamma","c22","c23","c33","matrix2x2_11","matrix2x2_12","matrix2x2_21","matrix2x2_22","invert2x2_11","invert2x2_12","invert2x2_21","invert2x2_22"
"3H","PMC_24h",34,17.7352941176471,136.204570298532,0.645422307074094,-297.605110216368,0.692982291455849,-2.19075825515264,3.48160286930083,47.5343268596518,-394.314425366287,-200.89579506645,24.0392046159252,1.88786214243796,20.4708648182802,0.579018747998425,0.0114146858873634,0.73010094124291,24.0392046159252,1.88786214243796,1.88786214243796,20.4708648182802,0.0419021877362488,-0.00386429956012176,-0.00386429956012176,0.0492062877552243
"3H","PMC_12h",34,10.8235294117647,136.204570298532,0.607612194435979,-7.09311846682901,0.627151930543876,-1.9395630326297,3.15478742150166,36.1385192000986,-80.6174886065962,66.4312516729381,13.8242204644175,-0.380586223452002,11.8727154726471,0.402976240483231,-0.01788564772214,0.352815992959848,13.8242204644175,-0.380586223452002,-0.380586223452002,11.8727154726471,0.0724007030630583,0.00232084313125509,0.00232084313125509,0.084301125823189
"3H","PMC_ortho",34,28.4898278136147,136.204570298532,0.676480058710977,-43.8240894000576,0.842771783957818,-2.816021777262,4.16898189468395,60.8319740331686,-167.58767114458,79.9394923444648,53.4933366731897,1.80384409470303,38.152599894034,1.41000148138559,-0.223231938674235,1.28546724117981,53.4933366731897,1.80384409470303,1.80384409470303,38.152599894034,0.0187237686660739,-0.000885254468442251,-0.000885254468442251,0.0262523881420158
"3H","PMC_bathy",34,28.4898278136147,136.204570298532,2.21144121163656,-108.30126434135,0.164675414005356,0.399783348473261,4.02309907479986,66.5157399985288,-243.62855488952,27.0260262068198,36.435713097011,4.52929525522694,50.6430478116826,1.36886773069231,-0.231520972528623,1.19227229603397,36.435713097011,4.52929525522694,4.52929525522694,50.6430478116826,0.0277541616763986,-0.00248221223298324,-0.00248221223298324,0.0199680452853005
"2M","PMC_24h",36,15.0277777777778,134.190631481585,0.422032461515432,-53.2522467678305,0.84542713165835,-2.80763033025003,3.65169525328089,44.0692785197806,-142.71763848311,36.2131449474487,15.5175778182874,0.382740297735022,22.0317737324498,0.557415470027747,0.0837267872667043,0.485622073048287,15.5175778182874,0.382740297735022,0.382740297735022,22.0317737324498,0.064470671889912,-0.00111999716654579,-0.00111999716654579,0.0454084487339978
"2M","PMC_12h",36,8.47222222222222,134.190631481585,1.11603748776187,-274.716074387037,0.157277758087714,-0.765802125005165,2.9978771005289,29.5517668431266,-334.709350549074,-214.722798225,10.5125168098191,-3.03096820171011,12.1643189490645,0.351385184244945,0.0792956210154739,0.278526920168489,10.5125168098191,-3.03096820171011,-3.03096820171011,12.1643189490645,0.102487428952792,0.0255366650226504,0.0255366650226504,0.0885705828803706
"2M","PMC_ortho",36,23.6069950648559,134.190631481585,0.567205811005906,-107.208460138074,0.877130366623067,-3.13557607854085,4.26998770055266,51.7204334795619,-212.206522197477,-2.2103980786711,38.6472747039022,-10.9316933955036,41.4069969746953,1.31511547535226,0.228837536261915,0.90861429349767,38.6472747039022,-10.9316933955036,-10.9316933955036,41.4069969746953,0.0279632341013945,0.00738246006417576,0.00738246006417576,0.0260995210685421
"2M","PMC_bathy",36,23.6069950648559,134.190631481585,1.21244502509273,-254.445294355775,0.553917704894925,-1.2905205695783,3.71541061976375,52.7260670632168,-361.484901126271,-147.40568758528,36.5176645385437,8.5783465816394,42.355498047311,1.28799762037381,-0.162124988399165,0.902923562566596,36.5176645385437,8.5783465816394,8.5783465816394,42.355498047311,0.0287519296771982,-0.005823187756792,-0.005823187756792,0.0247890680358645
"1L","PMC_24h",18,15.1222222222222,141.62768836192,1.9231763297065,-42.8714465648302,0.121138304627772,0.0770264691063471,3.76932619030666,55.0606337536246,-159.039229383602,73.2963362539418,14.5311850292724,-0.669750203129857,16.7343092980715,0.826837413618964,0.0582669936606191,0.910134493455695,14.5311850292724,-0.669750203129857,-0.669750203129857,16.7343092980715,0.0689446916681741,0.00275934431633856,0.00275934431633856,0.059867906919339
"1L","PMC_12h",18,9.94444444444444,141.62768836192,2.12938045499427,-44.4566454173128,0.0127828997651309,0.651736899183025,3.60702401080552,36.2493598738958,-120.936109565744,32.0228187311186,7.38294328175699,0.41705632316585,7.18901315687758,0.428044362361263,-0.0049465518811541,0.381508773118435,7.38294328175699,0.41705632316585,0.41705632316585,7.18901315687758,0.135892670898449,-0.00788354346185532,-0.00788354346185532,0.139558498469278
"1L","PMC_ortho",18,25.0321501055148,141.62768836192,3.10236245346601,-27.7781473698098,0.110862467843895,1.3845474082245,4.82017749870752,74.4000832471511,-184.748601996745,129.192307257125,38.0534541843567,4.27782981622006,20.8603335457501,2.10260703120964,-0.259439261237367,1.17038117601852,38.0534541843567,4.27782981622006,4.27782981622006,20.8603335457501,0.0268989304130898,-0.00551616522780805,-0.00551616522780805,0.0490690723538912
"1L","PMC_bathy",18,25.0321501055148,141.62768836192,2.21475625112756,-255.165379069897,0.234931413877046,0.16632761709114,4.26318488516398,79.2962827176584,-422.465911611888,-87.8648465279068,20.6271141940423,-9.6476692056729,43.2837991674649,2.05683898746125,0.777237585830497,1.49376731040026,20.6271141940423,-9.6476692056729,-9.6476692056729,43.2837991674649,0.0541221798816246,0.0120634717430332,0.0120634717430332,0.025792199537048
